"code","type","group","value","status","sentiment","rating","price","source_screenshot","crop_file","crop_x","crop_y","crop_w","crop_h","notes","analysis_use"
"GF-PROMO-007","promo_voucher","promo-voucher","Diskon Rp25.000 Bank Mega; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-029-promo.jpeg","coded-data/promo-voucher/gf-promo-007-diskon-rp25-000-bank-mega-minimum-belanja-terlihat-terpotong.jpeg","0","865","739","130","Promo/voucher terlihat pada halaman Promo GrabFood.","Bukti kegiatan promosi dan insentif pembelian di platform."
"GF-PROMO-008","promo_voucher","promo-voucher","Diskon 5% untuk Group Order; minimum orang bergabung 3 ke 6","aktif_terlihat","","","","O-GF-20260613-crop-029-promo.jpeg","coded-data/promo-voucher/gf-promo-008-diskon-5-untuk-group-order-minimum-orang-bergabung-3-ke-6.jpeg","0","990","739","130","Promo/voucher terlihat pada halaman Promo GrabFood.","Bukti kegiatan promosi dan insentif pembelian di platform."
"GF-PROMO-009","promo_voucher","promo-voucher","Diskon Rp4.000 Bank Mega; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-029-promo.jpeg","coded-data/promo-voucher/gf-promo-009-diskon-rp4-000-bank-mega-minimum-belanja-terlihat-terpotong.jpeg","0","1115","739","130","Promo/voucher terlihat pada halaman Promo GrabFood.","Bukti kegiatan promosi dan insentif pembelian di platform."
"GF-PROMO-010","promo_voucher","promo-voucher","Diskon Rp10.000 Bank Mega; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-029-promo.jpeg","coded-data/promo-voucher/gf-promo-010-diskon-rp10-000-bank-mega-minimum-belanja-terlihat-terpotong.jpeg","0","1240","739","130","Promo/voucher terlihat pada halaman Promo GrabFood.","Bukti kegiatan promosi dan insentif pembelian di platform."
"GF-PROMO-011","promo_voucher","promo-voucher","Diskon ongkir Rp3.000; tanpa belanja minimum","aktif_terlihat","","","","O-GF-20260613-crop-029-promo.jpeg","coded-data/promo-voucher/gf-promo-011-diskon-ongkir-rp3-000-tanpa-belanja-minimum.jpeg","0","1365","739","157","Promo/voucher terlihat pada halaman Promo GrabFood.","Bukti kegiatan promosi dan insentif pembelian di platform."
"GF-PROMO-012","promo_voucher","promo-voucher","Diskon Rp25.000 BSI; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-030-promo.jpeg","coded-data/promo-voucher/gf-promo-012-diskon-rp25-000-bsi-minimum-belanja-terlihat-terpotong.jpeg","0","120","739","130","Promo/voucher tambahan terlihat pada halaman Promo GrabFood.","Bukti ragam promosi dan potensi daya tarik harga di platform."
"GF-PROMO-013","promo_voucher","promo-voucher","Diskon Rp25.000 Raya Bank; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-030-promo.jpeg","coded-data/promo-voucher/gf-promo-013-diskon-rp25-000-raya-bank-minimum-belanja-terlihat-terpotong.jpeg","0","245","739","130","Promo/voucher tambahan terlihat pada halaman Promo GrabFood.","Bukti ragam promosi dan potensi daya tarik harga di platform."
"GF-PROMO-014","promo_voucher","promo-voucher","Diskon 25% s.d. Rp100.000; minimum belanja Rp30.000","aktif_terlihat","","","","O-GF-20260613-crop-030-promo.jpeg","coded-data/promo-voucher/gf-promo-014-diskon-25-s-d-rp100-000-minimum-belanja-rp30-000.jpeg","0","370","739","135","Promo/voucher tambahan terlihat pada halaman Promo GrabFood.","Bukti ragam promosi dan potensi daya tarik harga di platform."
"GF-PROMO-015","promo_voucher","promo-voucher","Diskon Rp15.000 BTN; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-030-promo.jpeg","coded-data/promo-voucher/gf-promo-015-diskon-rp15-000-btn-minimum-belanja-terlihat-terpotong.jpeg","0","500","739","130","Promo/voucher tambahan terlihat pada halaman Promo GrabFood.","Bukti ragam promosi dan potensi daya tarik harga di platform."
"GF-PROMO-016","promo_voucher","promo-voucher","Diskon ongkir Rp8.000; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-030-promo.jpeg","coded-data/promo-voucher/gf-promo-016-diskon-ongkir-rp8-000-minimum-belanja-terlihat-terpotong.jpeg","0","625","739","130","Promo/voucher tambahan terlihat pada halaman Promo GrabFood.","Bukti ragam promosi dan potensi daya tarik harga di platform."
"GF-PROMO-017","promo_voucher","promo-voucher","Diskon ongkir Rp8.000; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-030-promo.jpeg","coded-data/promo-voucher/gf-promo-017-diskon-ongkir-rp8-000-minimum-belanja-terlihat-terpotong.jpeg","0","750","739","130","Promo/voucher tambahan terlihat pada halaman Promo GrabFood.","Bukti ragam promosi dan potensi daya tarik harga di platform."
"GF-PROMO-018","promo_voucher","promo-voucher","Diskon Rp20.000 SBI card; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-030-promo.jpeg","coded-data/promo-voucher/gf-promo-018-diskon-rp20-000-sbi-card-minimum-belanja-terlihat-terpotong.jpeg","0","875","739","130","Promo/voucher tambahan terlihat pada halaman Promo GrabFood.","Bukti ragam promosi dan potensi daya tarik harga di platform."
"GF-PROMO-019","promo_voucher","promo-voucher","Diskon Rp20.000 Bank Jakarta; minimum belanja terlihat terpotong","aktif_terlihat","","","","O-GF-20260613-crop-030-promo.jpeg","coded-data/promo-voucher/gf-promo-019-diskon-rp20-000-bank-jakarta-minimum-belanja-terlihat-terpotong.jpeg","0","1000","739","130","Promo/voucher tambahan terlihat pada halaman Promo GrabFood.","Bukti ragam promosi dan potensi daya tarik harga di platform."
"GF-MENU-TERATAS-001","menu_teratas","menu-harga-foto","Nasi Padang Bungkus Gulai Cincang; Rp50.500 dari Rp55.000","tersedia_promo","","","50500","O-GF-20260613-crop-026-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-teratas-001-nasi-padang-bungkus-gulai-cincang-rp50-500-dari-rp55-000.jpeg","0","285","739","270","Menu promo di kategori GERILYA Nasi Padang.","Bukti menu promo dan strategi harga diskon."
"GF-MENU-TERATAS-002","menu_teratas","menu-harga-foto","Nasi Padang Kari Kambing GERILYA; Rp72.000","tersedia","","","72000","O-GF-20260613-crop-026-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-teratas-002-nasi-padang-kari-kambing-gerilya-rp72-000.jpeg","0","555","739","270","Harga tertinggi yang terlihat untuk menu utama tersedia.","Bukti rentang harga atas menu utama."
"GF-MENU-TERATAS-003","menu_teratas","menu-harga-foto","Nasi Padang Dendeng Sapi Bakar GERILYA; Rp56.000","tersedia","","","56000","O-GF-20260613-crop-026-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-teratas-003-nasi-padang-dendeng-sapi-bakar-gerilya-rp56-000.jpeg","0","805","739","275","Menu utama kategori nasi padang.","Bukti variasi lauk premium."
"GF-MENU-TERLARIS-001","menu_terlaris","menu-harga-foto","Nasi Padang Rendang Sapi GERILYA; Rp56.000; label Terlaris","tersedia","","","56000","O-GF-20260613-crop-026-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-terlaris-001-nasi-padang-rendang-sapi-gerilya-rp56-000-label-terlaris.jpeg","0","1075","739","255","Label Terlaris terlihat pada menu rendang sapi.","Bukti menu populer/unggulan platform."
"GF-MENU-TERLARIS-002","menu_terlaris","menu-harga-foto","Nasi Padang Ayam Goreng Bumbu GERILYA; Rp45.000; label Terlaris","tersedia","","","45000","O-GF-20260613-crop-025-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-terlaris-002-nasi-padang-ayam-goreng-bumbu-gerilya-rp45-000-label-terlaris.jpeg","0","250","739","265","Label Terlaris terlihat pada menu ayam goreng bumbu.","Bukti menu populer/unggulan platform."
"GF-MENU-TERLARIS-003","menu_terlaris","menu-harga-foto","Nasi Padang Ayam Rendang GERILYA; Rp46.000; label Terlaris","tersedia","","","46000","O-GF-20260613-crop-025-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-terlaris-003-nasi-padang-ayam-rendang-gerilya-rp46-000-label-terlaris.jpeg","0","510","739","285","Label Terlaris terlihat pada menu ayam rendang.","Bukti menu populer/unggulan platform."
"GF-MENU-PROMO-002","menu_promo","menu-harga-foto","Nasi Padang Gulai Ayam Kalasan GERILYA; Rp41.500 dari Rp46.000","tersedia_promo","","","41500","O-GF-20260613-crop-025-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-promo-002-nasi-padang-gulai-ayam-kalasan-gerilya-rp41-500-dari-rp46-000.jpeg","0","790","739","270","Harga coret dan ikon promo terlihat.","Bukti strategi diskon pada item menu."
"GF-MENU-UTAMA-001","menu_utama","menu-harga-foto","Nasi Padang Ayam Bakar GERILYA; Rp45.000","tersedia","","","45000","O-GF-20260613-crop-025-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-utama-001-nasi-padang-ayam-bakar-gerilya-rp45-000.jpeg","0","1060","739","260","Menu utama ayam bakar.","Bukti variasi menu utama."
"GF-MENU-UTAMA-002","menu_utama","menu-harga-foto","Nasi Padang Cumi Nagih GERILYA; Rp70.000","tersedia","","","70000","O-GF-20260613-crop-024-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-utama-002-nasi-padang-cumi-nagih-gerilya-rp70-000.jpeg","0","250","739","250","Menu utama cumi nagih.","Bukti variasi menu dan rentang harga atas."
"GF-MENU-UTAMA-003","menu_utama","menu-harga-foto","Nasi Padang Ikan Lele Goreng Panas GERILYA; Rp39.000","tersedia","","","39000","O-GF-20260613-crop-024-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-utama-003-nasi-padang-ikan-lele-goreng-panas-gerilya-rp39-000.jpeg","0","500","739","250","Menu utama ikan lele.","Bukti variasi menu ikan."
"GF-MENU-UTAMA-004","menu_utama","menu-harga-foto","Nasi Padang Ikan Tongkol Tuna Goreng Panas GERILYA; Rp48.000","tersedia","","","48000","O-GF-20260613-crop-024-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-utama-004-nasi-padang-ikan-tongkol-tuna-goreng-panas-gerilya-rp48-000.jpeg","0","750","739","250","Menu utama ikan tongkol/tuna.","Bukti variasi menu ikan."
"GF-MENU-UTAMA-005","menu_utama","menu-harga-foto","Nasi Padang Ikan Gembung Goreng GERILYA; Rp50.000","tersedia","","","50000","O-GF-20260613-crop-024-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-utama-005-nasi-padang-ikan-gembung-goreng-gerilya-rp50-000.jpeg","0","1000","739","250","Menu utama ikan gembung.","Bukti variasi menu ikan."
"GF-MENU-UTAMA-006","menu_utama","menu-harga-foto","Nasi Padang Ikan Nila Goreng GERILYA; Rp43.000","tersedia","","","43000","O-GF-20260613-crop-024-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-utama-006-nasi-padang-ikan-nila-goreng-gerilya-rp43-000.jpeg","0","1250","739","272","Menu utama ikan nila.","Bukti variasi menu ikan."
"GF-MENU-UTAMA-007","menu_utama","menu-harga-foto","Nasi Padang Telur Dadar GERILYA; Rp32.000","tersedia","","","32000","O-GF-20260613-crop-023-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-utama-007-nasi-padang-telur-dadar-gerilya-rp32-000.jpeg","0","260","739","250","Menu utama harga rendah kategori nasi padang.","Bukti rentang harga bawah menu utama."
"GF-MENU-UTAMA-008","menu_utama","menu-harga-foto","Nasi Padang Berkedel Kentang GERILYA; Rp37.400","tersedia","","","37400","O-GF-20260613-crop-023-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-utama-008-nasi-padang-berkedel-kentang-gerilya-rp37-400.jpeg","0","500","739","260","Menu utama/perkedel kentang.","Bukti variasi menu utama."
"GF-MENU-UTAMA-009","menu_utama","menu-harga-foto","Nasi Padang Sayur Polos GERILYA; Rp27.500","tersedia","","","27500","O-GF-20260613-crop-023-menu-paket-lauk.jpeg","coded-data/menu-harga-foto/gf-menu-utama-009-nasi-padang-sayur-polos-gerilya-rp27-500.jpeg","0","760","739","250","Harga terendah yang terlihat untuk paket nasi padang tersedia.","Bukti rentang harga bawah menu utama."
"GF-MENU-MINUMAN-001","menu_minuman","menu-harga-foto","Air Mineral 400ml; Rp13.200","tersedia","","","13200","O-GF-20260613-crop-011-menu-minuman-tambahan.jpeg","coded-data/menu-harga-foto/gf-menu-minuman-001-air-mineral-400ml-rp13-200.jpeg","0","250","739","250","Minuman segar harga rendah.","Bukti variasi menu minuman."
"GF-MENU-MINUMAN-002","menu_minuman","menu-harga-foto","Es Teh Tawar; Rp13.200","tersedia","","","13200","O-GF-20260613-crop-011-menu-minuman-tambahan.jpeg","coded-data/menu-harga-foto/gf-menu-minuman-002-es-teh-tawar-rp13-200.jpeg","0","500","739","250","Minuman teh tawar.","Bukti variasi menu minuman."
"GF-MENU-MINUMAN-003","menu_minuman","menu-harga-foto","Es Teh Manis; Rp15.950","tersedia","","","15950","O-GF-20260613-crop-011-menu-minuman-tambahan.jpeg","coded-data/menu-harga-foto/gf-menu-minuman-003-es-teh-manis-rp15-950.jpeg","0","750","739","250","Minuman teh manis.","Bukti variasi menu minuman."
"GF-MENU-MINUMAN-004","menu_minuman","menu-harga-foto","Es Jeruk Limau; Rp22.000","tersedia","","","22000","O-GF-20260613-crop-011-menu-minuman-tambahan.jpeg","coded-data/menu-harga-foto/gf-menu-minuman-004-es-jeruk-limau-rp22-000.jpeg","0","1000","739","250","Minuman jeruk limau.","Bukti variasi menu minuman."
"GF-MENU-TAMBAHAN-001","menu_tambahan","menu-harga-foto","Nambah KUAH CAMPUR; Rp2.500","tersedia","","","2500","O-GF-20260613-crop-012-menu-minuman-tambahan.jpeg","coded-data/menu-harga-foto/gf-menu-tambahan-001-nambah-kuah-campur-rp2-500.jpeg","0","800","739","260","Tambahan kuah campur.","Bukti item add-on dan harga bawah."
"GF-MENU-TAMBAHAN-002","menu_tambahan","menu-harga-foto","Nambah Kuah Gulai Kuning; Rp1.100","tersedia","","","1100","O-GF-20260613-crop-012-menu-minuman-tambahan.jpeg","coded-data/menu-harga-foto/gf-menu-tambahan-002-nambah-kuah-gulai-kuning-rp1-100.jpeg","0","1070","739","260","Harga terendah yang terlihat pada observasi.","Bukti rentang harga bawah keseluruhan menu."
"GF-MENU-SAMBAL-001","menu_sambal","menu-harga-foto","GERILYA Sambal Hijau; Rp17.500","tersedia","","","17500","O-GF-20260613-crop-013-menu-minuman-tambahan.jpeg","coded-data/menu-harga-foto/gf-menu-sambal-001-gerilya-sambal-hijau-rp17-500.jpeg","0","235","739","265","Sambal ulek.","Bukti variasi produk pendamping."
"GF-MENU-SAMBAL-002","menu_sambal_kemasan","menu-harga-foto","GERILYA Sambal Andaliman Getir Kemasan; Rp38.500","tersedia","","","38500","O-GF-20260613-crop-013-menu-minuman-tambahan.jpeg","coded-data/menu-harga-foto/gf-menu-sambal-002-gerilya-sambal-andaliman-getir-kemasan-rp38-500.jpeg","0","555","739","260","Produk sambal kemasan.","Bukti diversifikasi produk di platform."
"GF-SOLDOUT-001","menu_sold_out","sold-out","Gulai Merah Kepala Ikan GERILYA L; Rp275.000; Nggak tersedia","nggak_tersedia","","","275000","O-GF-20260613-crop-008-menu-minuman-tambahan.jpeg","coded-data/sold-out/gf-soldout-001-gulai-merah-kepala-ikan-gerilya-l-rp275-000-nggak-tersedia.jpeg","0","785","739","305","Item terlihat abu-abu dan bertuliskan Nggak tersedia.","Bukti keterbatasan ketersediaan menu premium."
"GF-SOLDOUT-002","menu_sold_out","sold-out","Gulai Merah Kepala Ikan GERILYA M; Rp248.050; Nggak tersedia","nggak_tersedia","","","248050","O-GF-20260613-crop-008-menu-minuman-tambahan.jpeg","coded-data/sold-out/gf-soldout-002-gulai-merah-kepala-ikan-gerilya-m-rp248-050-nggak-tersedia.jpeg","0","1070","739","285","Item terlihat abu-abu dan bertuliskan Nggak tersedia.","Bukti keterbatasan ketersediaan menu premium."
"GF-SOLDOUT-003","menu_sold_out","sold-out","Nasi Padang Gembung Kuring Bakar GERILYA; Rp47.850; Nggak tersedia","nggak_tersedia","","","47850","O-GF-20260613-crop-023-menu-paket-lauk.jpeg","coded-data/sold-out/gf-soldout-003-nasi-padang-gembung-kuring-bakar-gerilya-rp47-850-nggak-tersedia.jpeg","0","1000","739","285","Item terlihat abu-abu dan bertuliskan Nggak tersedia.","Bukti menu utama tidak tersedia."
"GF-SOLDOUT-004","menu_sold_out","sold-out","Nasi Padang Ayam Pop Sauce Creamy GERILYA; Rp46.000; Nggak tersedia","nggak_tersedia","","","46000","O-GF-20260613-crop-023-menu-paket-lauk.jpeg","coded-data/sold-out/gf-soldout-004-nasi-padang-ayam-pop-sauce-creamy-gerilya-rp46-000-nggak-tersedia.jpeg","0","1260","739","262","Item terlihat abu-abu dan bertuliskan Nggak tersedia.","Bukti menu utama tidak tersedia."
"GF-SOLDOUT-005","menu_sold_out","sold-out","GERILYA Sambal Cumi Nagih Kemasan; Rp38.500; Nggak tersedia","nggak_tersedia","","","38500","O-GF-20260613-crop-012-menu-minuman-tambahan.jpeg","coded-data/sold-out/gf-soldout-005-gerilya-sambal-cumi-nagih-kemasan-rp38-500-nggak-tersedia.jpeg","0","235","739","245","Produk sambal kemasan tidak tersedia.","Bukti keterbatasan stok produk kemasan."
"GF-SOLDOUT-006","menu_sold_out","sold-out","GERILYA Sambal Tuna Asap Keumamah Aceh Kemasan; Rp38.500; Nggak tersedia","nggak_tersedia","","","38500","O-GF-20260613-crop-012-menu-minuman-tambahan.jpeg","coded-data/sold-out/gf-soldout-006-gerilya-sambal-tuna-asap-keumamah-aceh-kemasan-rp38-500-nggak-tersedia.jpeg","0","485","739","220","Produk sambal kemasan tidak tersedia.","Bukti keterbatasan stok produk kemasan."
"GF-PRICE-RANGE-001","rentang_harga","ringkasan-harga","Rentang harga observasi: Rp1.100 sampai Rp275.000; tersedia: Rp1.100 sampai Rp72.000; paket nasi padang tersedia: Rp27.500 sampai Rp72.000","ringkasan_observasi","","","","O-GF-20260613-crop-012-menu-minuman-tambahan.jpeg","coded-data/ringkasan-harga/gf-price-range-001-rentang-harga-observasi-rp1-100-sampai-rp275-000-tersedia-rp1-100-sampa.jpeg","0","725","739","560","Crop menunjukkan dua item harga terendah tersedia: Rp2.500 dan Rp1.100.","Dasar narasi price dalam bauran pemasaran."
"GF-PRICE-RANGE-002","rentang_harga","ringkasan-harga","Harga tertinggi terlihat: Gulai Merah Kepala Ikan L Rp275.000 dan M Rp248.050, tetapi tidak tersedia","ringkasan_observasi","","","","O-GF-20260613-crop-008-menu-minuman-tambahan.jpeg","coded-data/ringkasan-harga/gf-price-range-002-harga-tertinggi-terlihat-gulai-merah-kepala-ikan-l-rp275-000-dan-m-rp24.jpeg","0","775","739","600","Crop menunjukkan harga atas tetapi berstatus tidak tersedia.","Membedakan rentang harga terlihat dan rentang harga aktif."
"GF-PRICE-RANGE-003","rentang_harga","ringkasan-harga","Harga atas menu utama tersedia: Kari Kambing Rp72.000 dan Dendeng Sapi Bakar Rp56.000","ringkasan_observasi","","","","O-GF-20260613-crop-026-menu-paket-lauk.jpeg","coded-data/ringkasan-harga/gf-price-range-003-harga-atas-menu-utama-tersedia-kari-kambing-rp72-000-dan-dendeng-sapi-b.jpeg","0","545","739","545","Crop menunjukkan harga tinggi pada paket nasi padang yang tersedia.","Dasar rentang harga paket/menu utama tersedia."
"GF-REV-POS-001","ulasan_positif","ulasan-positif","Muslim M.: keren ni, konsisten rasa","terlihat","positif","5","","O-GF-20260613-crop-006-ulasan-pelanggan.jpeg","coded-data/ulasan-positif/gf-rev-pos-001-muslim-m-keren-ni-konsisten-rasa.jpeg","0","300","739","350","Aspek positif: konsistensi rasa.","Kekuatan internal: kualitas rasa konsisten."
"GF-REV-POS-002","ulasan_positif","ulasan-positif","Raymond: Ayam popnya wenak dan creamy","terlihat","positif","5","","O-GF-20260613-crop-006-ulasan-pelanggan.jpeg","coded-data/ulasan-positif/gf-rev-pos-002-raymond-ayam-popnya-wenak-dan-creamy.jpeg","0","1110","739","360","Aspek positif: rasa ayam pop.","Kekuatan produk/menu favorit."
"GF-REV-POS-003","ulasan_positif","ulasan-positif","tasyaa: rasanya enak, sayur fresh, porsi agak kebanyakan","terlihat","positif","5","","O-GF-20260613-crop-032-ulasan-pelanggan-lanjutan.jpeg","coded-data/ulasan-positif/gf-rev-pos-003-tasyaa-rasanya-enak-sayur-fresh-porsi-agak-kebanyakan.jpeg","0","245","739","720","Aspek positif: rasa, kesegaran sayur, porsi.","Kekuatan produk dan value porsi."
"GF-REV-POS-004","ulasan_positif","ulasan-positif","Wie W.: langganan keluarga; rasa enak, porsi besar, bersih, request dipenuhi","terlihat","positif","5","","O-GF-20260613-crop-032-ulasan-pelanggan-lanjutan.jpeg","coded-data/ulasan-positif/gf-rev-pos-004-wie-w-langganan-keluarga-rasa-enak-porsi-besar-bersih-request-dipenuhi.jpeg","0","965","739","450","Aspek positif: loyalitas, rasa, porsi, kebersihan, custom request.","Kekuatan layanan dan loyalitas pelanggan."
"GF-REV-POS-005","ulasan_positif","ulasan-positif","Wie W.: langgananku setiap Minggu, Best","terlihat","positif","5","","O-GF-20260613-crop-033-ulasan-pelanggan-lanjutan.jpeg","coded-data/ulasan-positif/gf-rev-pos-005-wie-w-langgananku-setiap-minggu-best.jpeg","0","260","739","330","Aspek positif: pelanggan rutin mingguan.","Indikasi loyalitas pelanggan."
"GF-REV-POS-006","ulasan_positif","ulasan-positif","ita: ikan gembung dan lele fresh; rasanya enak","terlihat","positif","5","","O-GF-20260613-crop-033-ulasan-pelanggan-lanjutan.jpeg","coded-data/ulasan-positif/gf-rev-pos-006-ita-ikan-gembung-dan-lele-fresh-rasanya-enak.jpeg","0","600","739","360","Aspek positif: kesegaran ikan dan rasa.","Kekuatan kualitas bahan/makanan."
"GF-REV-POS-007","ulasan_positif","ulasan-positif","Lina: semua menu enak, semua recommended","terlihat","positif","5","","O-GF-20260613-crop-034-ulasan-pelanggan-lanjutan.jpeg","coded-data/ulasan-positif/gf-rev-pos-007-lina-semua-menu-enak-semua-recommended.jpeg","0","625","739","420","Aspek positif: variasi menu disukai.","Kekuatan variasi menu."
"GF-REV-POS-008","ulasan_positif","ulasan-positif","Gusti: best karena sayur dan lauk dipisah","terlihat","positif","5","","O-GF-20260613-crop-034-ulasan-pelanggan-lanjutan.jpeg","coded-data/ulasan-positif/gf-rev-pos-008-gusti-best-karena-sayur-dan-lauk-dipisah.jpeg","0","1090","739","300","Aspek positif: penyajian dipisah.","Kekuatan pengemasan/penyajian."
"GF-REV-POS-009","ulasan_positif","ulasan-positif","Derrick: rasanya enak, porsinya besar","terlihat","positif","5","","O-GF-20260613-crop-037-ulasan-pelanggan-lanjutan.jpeg","coded-data/ulasan-positif/gf-rev-pos-009-derrick-rasanya-enak-porsinya-besar.jpeg","0","430","739","400","Aspek positif: rasa dan porsi.","Kekuatan produk dan value."
"GF-REV-POS-010","ulasan_positif","ulasan-positif","Suba: enak banget menurut keluarga","terlihat","positif","5","","O-GF-20260613-crop-039-ulasan-pelanggan-lanjutan.jpeg","coded-data/ulasan-positif/gf-rev-pos-010-suba-enak-banget-menurut-keluarga.jpeg","0","680","739","350","Aspek positif: rasa disukai keluarga/pembelian jarak jauh.","Kekuatan kepuasan pelanggan dan word-of-mouth."
