"Peneliti
 (Tahun)",Judul Penelitian,Metode Analisis,Hasil Penelitian,Link ,DOI,Tipe,Link file,H5 Index,SINTA
,DIGITAL MARKETING STRATEGY TO INCREASE SALES TURNOVER DURING THE COVID-19 PANDEMIC,,,https://repository.iainkediri.ac.id/861/1/1551-61-3305-1-10-20220925-1.pdf,,Conference,,,
Indriyani & Lopez (2025),Penerapan Strategi Pemasaran Digital Melalui Media Sosial dan E-Commercedalam Meningkatkan Penjualan pada Gudang Baju Anak Lucu,"Kualitatif deskriptif dengan pendekatan studi kasus; teknik pengumpulan data melalui wawancara mendalam, observasi digital, dan dokumentasi; analisis tematik dengan triangulasi data","1) Strategi pemasaran digital melalui Instagram, TikTok, dan e-commerce terbukti efektif meningkatkan visibilitas merek dan penjualan; 2) Penggunaan iklan berbayar dan influencer marketing meningkatkan engagement serta konversi penjualan; 3) Media sosial berdampak signifikan terhadap peningkatan follower, repeat order, dan rating toko; 4) Terdapat hambatan berupa kompetisi tinggi, keterbatasan sumber daya, dan kurang optimalnya pemanfaatan analitik digital.",https://jurnal.yayasanyutapendidikancerdas.com/index.php/juilmu,https://doi.org/10.62282/juilmu.v2i2.137-152,Jurnal,,,
,STRATEGI PEMASARAN DIGITAL RESTORAN MELALUI MEDIA SOSIAL DALAM KEPUTUSAN BERKUNJUNG (STUDI PADA RESTORAN BUMI KAYU DI KECAMATAN SAMARANG KABUPATEN GARUT),,,https://e-jurnal.jurnalcenter.com/index.php/ijosse/article/view/1342,https://doi.org/10.62567/ijosse.v1i3.1342,Jurnal,,,
,Implementation of Digital Marketing Strategy in MSME Development in Candisari Ungaran Village,,,https://jiss.publikasiindonesia.id/index.php/jiss,,Jurnal,,,
,STRATEGI PEMASARAN UMKM MARKISA AURORA DI KOTA MAKASSAR PADA MASA PANDEMI COVID-19,,,,,,STRATEGI PEMASARAN UMKM MARKISA AURORA DI KOTA MAKASSAR PADA MASA PANDEMI COVID-19.pdf,,
,Pemanfaatan Market Place GrabFood dan GoFood dalam Peningkatan Penjualan UMKM di Kecamatan Cikarang Barat,,,https://journal.arimbi.or.id/index.php/Kegiatanpositif/article/view/1422,https://doi.org/10.61132/KegiatanPositif.v2i4.1422,Jurnal,,,
,"STRATEGI PEMASARAN DIGITAL PADA USAHA MIKRO
KECIL MENENGAH TAGOYA MENGGUNAKAN MEDIA TIKTOK",,,,,,STRATEGI PEMASARAN DIGITAL PADA USAHA MIKRO KECIL MENENGAH TAGOYA MENGGUNAKAN  MEDIA TIKTOK.pdf,,
"Grace Kong, dkk. (2023)",The Promotion of Premium Cigars on Social Media,"Analisis Isi (Content Analysis) kualitatif dan kuantitatif terhadap unggahan media sosial (Instagram, Facebook, Twitter) milik 47 merek cerutu.","Merek cerutu premium memanfaatkan media sosial untuk membangun citra gaya hidup mewah dan komunitas melalui konten visual yang menarik. Strategi utama berfokus pada promosi gaya hidup, informasi acara (events), dan interaksi langsung guna memperkuat loyalitas pelanggan di ruang digital.",https://academic.oup.com/ntr/article/25/Supplement_1/59/7233235,https://doi.org/10.1093/ntr/ntad007,Jurnal,,,
"Juliana de Paula Matos, dkk. (2022)",Global case study of digital marketing on social media by a top soda brand,Studi kasus global dengan analisis deskriptif terhadap aktivitas pemasaran digital di Facebook pada 149 negara.,"Strategi pemasaran digital global pada industri minuman sangat bergantung pada frekuensi unggahan dan tingkat interaksi (engagement) audiens. Hasil menunjukkan bahwa konten visual dan interaksi yang konsisten secara signifikan meningkatkan popularitas merek, terutama di pasar negara berkembang.",https://academic.oup.com/heapro/article/37/5/daac133/6722723?searchresult=1,https://doi.org/10.1093/heapro/daac133,Jurnal,,,
"Deniz Zeren, dkk. (2026)",Social media marketing adoption and performance of micro-enterprise in an emerging market,Kuantitatif dengan model Structural Equation Modeling (SEM) menggunakan kerangka kerja Technology-Organization-Environment (TOE).,"Faktor teknologi, organisasi, dan lingkungan berpengaruh positif terhadap keputusan usaha mikro untuk mengadopsi pemasaran media sosial. Adopsi strategi digital ini terbukti meningkatkan kinerja pemasaran dan performa perusahaan secara keseluruhan di pasar yang sedang berkembang.",https://www.emerald.com/sjme/article/doi/10.1108/SJME-09-2024-0261/1341778/Decoding-the-mechanisms-of-extended-reality?searchresult=1,https://doi.org/10.1108/SJME-09-2024-0261,Jurnal,,,
"Qonitah Azzahra, dkk ()",Marketing Strategy Analysis Using Swot And Qspm Matrix (Case Study On Guzzini Msmes),"Kualitatif deskriptif; analisis IFE, EFE, IE Matrix, SWOT Matrix, dan QSPM (Quantitative Strategic Planning Matrix)","1) Berdasarkan skor IFE (3,84) dan EFE (3,75), posisi perusahaan berada pada sel I (grow and build); 2) Analisis SWOT menghasilkan enam alternatif strategi (SO, WO, ST, WT); 3) Berdasarkan QSPM, strategi prioritas adalah melakukan promosi yang lebih kreatif dan intensif (TAS 7,89) serta mengaktifkan kembali toko offline dan online secara simultan (TAS 7,825).",https://www.semanticscholar.org/reader/5e7760b3978f5c7e5466ccc76298e98a47542ebc,,Jurnal,,,
"Kurniawan, I., Rohimi, A., Roziannur, H. S., Fathiyah, H., Nasution, M. J., Hasanah, N., & Rasyidah (2023)",Pengembangan Strategi Pemasaran Potensi Gampong Lamme Melalui Media Digital,"Penelitian berbasis pengabdian masyarakat (participatory research); asesmen partisipatif, perencanaan bersama, pelaksanaan, refleksi dan evaluasi; implementasi marketplace (Shopee) dan media sosial","1) Pengembangan marketplace dan media sosial efektif memperluas jangkauan pemasaran produk unggulan gampong; 2) Strategi promosi digital (personal selling, periklanan, publikasi, sponsorship, promosi online) meningkatkan potensi penjualan; 3) Digital marketing mendukung peningkatan ekonomi masyarakat melalui kolaborasi BUMG dan pelaku usaha; 4) Pemasaran online memungkinkan produk menjangkau pasar nasional",https://journal.ar-raniry.ac.id/index.php/jrpm/article/view/1966,https://doi.org/10.22373/jrpm.v3i2.1966,Jurnal,,,tidak ada
"Chen, P., Al Mamun, A., Hoque, M.E., Yang, Q., & Masud, M.M. (2026)",From data to decisions: the role of digital marketing analytics in fashion e-commerce performance,Kuantitatif; survei terhadap 520 retailer fashion online di China; analisis menggunakan Structural Equation Modeling (PLS-SEM) dengan SmartPLS 4.0; uji mediasi dan moderasi,"1) Technology, basic resources, technical skills, managerial skills, dan data-driven culture berpengaruh positif dan signifikan terhadap digital marketing analytics (DMA), sedangkan data tidak berpengaruh signifikan; 2) Digital marketing analytics berpengaruh positif signifikan terhadap online retail performance (β = 0,352; p < 0,01); 3) DMA memediasi pengaruh technology, basic resources, technical skills, managerial skills, dan data-driven culture terhadap kinerja; 4) Digital leadership dan firm size memoderasi hubungan antara DMA dan online retail performance secara signifikan.",https://www.emerald.com/jfmm/article/30/3/525/1333131/From-data-to-decisions-the-role-of-digital?searchresult=1,https://doi.org/10.1108/JFMM-05-2025-0245,Jurnal,,,
"Ismail, Tarigan, Soemitra, & Nawawi (2025)",Strengthening the Global Competitiveness of Halal Culinary SMEs in North Sumatra through a Maqasid of Shariah-Based Approach,Kualitatif interpretif (multiple-case study); wawancara mendalam terhadap 10 stakeholder; analisis data menggunakan Atlas.ti 9; integrasi Maqasid Shariah Index (MSI) dengan pembobotan AHP,"1) Permasalahan utama UMKM halal kuliner adalah digital marketing (19 kode), pengembangan produk (17), dan akses permodalan (16); 2) Strategi prioritas meliputi penguatan digital marketing, peningkatan kualitas produk, pembiayaan mikro syariah, dan percepatan sertifikasi halal; 3) Nilai Maqasid Shariah Index sebesar 67,90% dengan kategori “Fairly Good”; 4) Peningkatan 20% pada variabel utama dan 15% pada variabel pendukung diproyeksikan dapat meningkatkan indeks di atas 75% (kategori “Good”).",https://journal.uii.ac.id/JIELariba/article/view/39743/18612,https://doi.org/10.20885/jielariba.vol11.iss1.art15,Jurnal,,,
"Dini, I. & Janet, M. (2024)","Formulating Strategies to Strengthen Resilient MSMEs in the F&B Sector of Central Java: An Integrated SWOT, IFE, EFE, IE, and QSPM Approach","Mixed-methods (kualitatif dan kuantitatif); wawancara dan kuesioner pada 13 UMKM F&B; analisis menggunakan IFE, EFE, IE Matrix, SWOT Matrix, dan QSPM","1) Skor IFE sebesar 3,26 dan EFE sebesar 3,18 menempatkan UMKM pada Kuadran I (grow and build) dalam IE Matrix; 2) Strategi prioritas berdasarkan QSPM adalah memperoleh sertifikasi BPOM (TAS ±2,095) untuk meningkatkan kredibilitas dan akses pasar modern; 3) Strategi penting lainnya meliputi pengamanan pasokan bahan baku, adopsi teknologi produksi untuk efisiensi, serta perluasan distribusi melalui reseller dan supermarket; 4) Strategi SO (memanfaatkan kekuatan untuk menangkap peluang) menjadi pendekatan paling dominan dan direkomendasikan.",https://journal.privietlab.org/index.php/CCDJ/article/view/825/373,https://doi.org/10.55942/ccdj.v4i2.825,Jurnal,,,tidak ada
,What social media sentiment tells us about why customers churn,,,https://www.emerald.com/jcm/article/39/5/385/189827/What-social-media-sentiment-tells-us-about-why?searchresult=1,https://doi.org/10.1108/JCM-12-2019-3540,Jurnal,,,
,A review of entrepreneurial orientation and digital transformation in SMEs: toward a multilevel framework,,,https://www.emerald.com/sl/article/doi/10.1108/SL-05-2025-0126/1343140/A-review-of-entrepreneurial-orientation-and?searchresult=1,https://doi.org/10.1108/SL-05-2025-0126,Jurnal,,,
,Enabling women entrepreneurs through digital transformation: a business process technology perspective from emerging economies,,,https://www.emerald.com/bpmj/article/doi/10.1108/BPMJ-10-2025-1751/1344283/Enabling-women-entrepreneurs-through-digital?searchresult=1,https://doi.org/10.1108/BPMJ-10-2025-1751,Jurnal,,,
,"Digital Marketing Strategy Based On E-Service, Brand ImageAnd Reviews For Gofood MSMEs",,,https://journal.as-salafiyah.id/index.php/sahri/article/view/606,,Jurnal,,,
,Engagement and loyalty in mobile applications for restaurant home deliveries,,,https://www.cell.com/heliyon/fulltext/S2405-8440(24)04320-2,,Jurnal,,,
,Digital Marketing Strategy to Increase Sales Conversion on E-commerce Platforms,,,https://journal.literasisainsnusantara.com/index.php/adman/article/view/23,https://doi.org/10.61100/adman.v1i2.23,Jurnal,,,Tidak ada
,Strategy for UtilizingTikTok Social Media as a Digital Marketing to Increase Sales at the Infarm Surabaya Brand,,,https://ejournal.lavishopulent.com/ojs/index.php/ijseb/article/view/24/18,https://doi.org/10.65688/ijseb.v1i3.25,Jurnal,,,
,Development of Promotional Criteria Decision Support System to Increase Sales of Scarlett Whitening Products through Digital Marketing Strategy,,,https://pdfs.semanticscholar.org/f533/ea3f852ffc7a97e49fa29d7eb3a49aa75e1d.pdf,,Jurnal,,,
,Strategy for Using Instagram as a Digital Marketing Communication Media to Increase MSME Product Sales,,,https://bircu-journal.com/index.php/birci/article/view/5245,,Jurnal,,,3
Zaheer et al. (2024),Enticing attributes of consumers’ purchase intention to use online food delivery applications (OFDAs) in a developing country,"SEM-PLS, SmartPLS, Bootstrapping, CFA","(1) Perceived value berpengaruh positif signifikan terhadap purchase intention (β=0,322; p<0,001).

(2) Perceived value memediasi hubungan antara information quality, familiarity, reputation, usability, dan time-saving terhadap purchase intention.

(3) Fear of COVID-19 memoderasi secara negatif hubungan antara perceived value dan purchase intention (β=−0,096; p<0,05), artinya semakin tinggi rasa takut terhadap COVID-19, semakin lemah pengaruh perceived value terhadap niat beli melalui OFDA.

(4) Reputasi memiliki korelasi tertinggi dengan purchase intention (r=0,526; p<0,01) di antara variabel independen lainnya.",https://www.emerald.com/jebde/article/3/3/295/1235841/Enticing-attributes-of-consumers-purchase?searchresult=1,,Jurnal,,,
Dadang Ruhiyat (2023),Strategi Pemasaran Online untuk Meningkatkan Minat Beli Konsumen Produk Makanan dan Minuman UMKM di Kota Bogor,"Analisis Regresi Linear Berganda,Analisis Deskriptif, Analisis SWOT dan IFE-EFE, Analisis I-E dan Analisis QSPM","1) 4P (produk, harga, promosi dan keamanan pembayaran) berpengaruh signifikan dan positif
terhadap minat beli konsumen untuk melakukan pembelian secara online; 2) Pelaku usaha UMKM
makanan dan minuman di Kota
Bogor berada pada posisi kuadran
IV dengan strategi grow and build;
3) Rekomendasi strategi untuk
UMKM, yaitu melakukan inovasi
produk yang dihasilkan berdasarkan want
to need konsumen dan juga sesuai dengan
kemampuan daya beli masyarakat",https://repository.ipb.ac.id/handle/123456789/120070,,Thesis,https://drive.google.com/file/d/19LODDvmmGR2q8hL3hOZq6SqCN2mpO_Yi/view?usp=drive_link,,
SAPTAJI (2025),"STRATEGI PEMASARAN DIGITAL UMKM PANGAN OLAHAN
BERBASIS MEDIA SOSIAL DAN E-COMMERCE
DI KABUPATEN KARAWANG","Analisis deskriptif, Matriks IFE (Internal Factor Evaluation), Matriks EFE (External Factor Evaluation), Matriks IE, Matriks, SWOT, Analytical Hierarchy Process (AHP)","1) Strategi pemasaran digital yang diterapkan UMKM pangan olahan di Kabupaten Karawang menunjukkan bahwa mayoritas pelaku usaha telah memanfaatkan media sosial (78%) dan sebagian menggunakan e-commerce (30%), serta 65% di antaranya mengalami kenaikan omzet setelah memanfaatkan platform digital;
2) Berdasarkan hasil analisis IFE, EFE, IE dan SWOT, posisi UMKM pangan olahan berada pada kondisi yang mendukung strategi pertumbuhan dengan memanfaatkan kekuatan internal dan peluang eksternal dalam pengembangan pemasaran digital;
3) Berdasarkan hasil pembobotan AHP, prioritas strategi pemasaran digital adalah peningkatan branding dan penjualan digital terpadu, diikuti peningkatan kapasitas produksi, inovasi dan promosi digital melalui kolaborasi, peningkatan jaminan kualitas dan diferensiasi produk secara digital, serta optimalisasi produksi, distribusi dan promosi berbasis komunitas untuk meningkatkan daya saing dan efisiensi biaya.""",http://repository.ipb.ac.id/handle/123456789/172235,,Thesis,https://drive.google.com/file/d/15a82wh1b7xeVt5zU5SPaqjJ7dPxDb3uq/view?usp=sharing,,
"Diah Khairani
(2022)",Strategi Meningkatkan Penjualan Buah dan Sayur pada Platform Digital di Kota Bogor,"Analisis Deskriptif dengan Regresi Data Panel, dan Analisis SWOT","1) Pengaruh harga, ulasan, peringkat, jenis toko, dan promosi terhadap total penjualan bernilai positif dan negatif berdasarkan jenis produknya; 2) Strategi yang cocok diaplikasikan meningkatkan penjualan buah dan sayur di Kota Bogor adalah penjual bekerja sama langsung dengan produsen sebagai pemasok utama",http://repository.ipb.ac.id/handle/123456789/112544,,Thesis,https://drive.google.com/file/d/1fCfiSnbRMNKDwmLz44v6v3Y0z5BUDQn8/view?usp=sharing,,
,EFEKTIVITAS PROMOSI KONTEN INSTAGRAM KAMO PET CARE DAN IMPLIKASINYA TERHADAP STRATEGI PEMASARAN,,,https://repository.ipb.ac.id/handle/123456789/166613,,Thesis,https://drive.google.com/file/d/1UKUzJes5DjaWXE_Byfxeuf2cfJ7zcCKC/view?usp=sharing,,
,Analisis Strategi Pemasaran dalam Upaya Peningkatan Penjualan pada Seqapla Coffee,,,http://repository.ipb.ac.id/handle/123456789/121117,,Thesis,kopi.pdf,,
,Perancangan Strategi Digital Marketing dengan Metode Race pada Layanan Online Food Delivery Berdasarkan Perilaku Pelanggan Generasi Z Studi Kasus pada Go-Food dan Grabfood Surabaya,,,https://repository.dinamika.ac.id/id/eprint/6244/,,Thesis,,,
,ANALISIS STRATEGI DIGITAL MARKETING DALAM MENINGKATKAN VOLUME PENJUALAN STUDI KASUS UMKM PAKLIN DONUT KOTA TEGAL,,,https://eprints.harkatnegeri.ac.id/604/,,Thesis,,,
,"PENERAPAN STRATEGI DIGITAL MARKETING PADA PENGGUNAAN PLATFORM GOFOOD, GRABFOOD DAN SHOPEEFOOD TERHADAP PENINGKATAN PENDAPATAN BISNIS KULINER (Studi Kasus Bangku Pawon Ngaliyan)",,,https://eprints.walisongo.ac.id/id/eprint/20066/1/skripsi_1805026069_Kamaludin_Firdaus.pdf,,Thesis,,,
