"code","source_code","source_type","group","value","status","theme_7p_stp","swot_category","source_file","evidence_ref","notes","analysis_use","triangulation_need","claim_level"
"PS-WPM-011","W-PM-202604","wawancara-awal-pemilik","produk-unggulan","Produk unggulan yang disebut pemilik adalah dendeng dan ayam pop putih.","included-derived-note","Product, positioning","Strength","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 7","Menjadi kandidat hero menu awal.","Mendukung strategi product lineup dan positioning menu unggulan.","Triangulasi dengan admin, pelanggan, dan observasi menu terlaris.","strong-if-triangulated"
"PS-WPM-012","W-PM-202604","wawancara-awal-pemilik","produk-unggulan","Menu yang tampak sering dilihat atau dipesan di GrabFood mencakup rendang sapi, ayam goreng, ayam bakar, dan kikil tunjang.","included-derived-note","Product, physical evidence","Strength","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 7","Keterangan pemilik dikaitkan dengan tampilan platform.","Mendukung pemetaan menu populer awal.","Triangulasi dengan observasi GrabFood dan data penjualan menu.","moderate"
"PS-WPM-013","W-PM-202604","wawancara-awal-pemilik","promosi","Promosi tidak hanya mengandalkan GrabFood, tetapi juga media sosial, KOL, influencer, promo platform, dan penguatan tampilan produk.","included-derived-note","Promotion, physical evidence","Opportunity","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 8","Menunjukkan bauran promosi lintas kanal.","Mendukung strategi komunikasi pemasaran terpadu.","Perlu bukti kampanye atau dokumentasi media sosial untuk audit lebih kuat.","moderate"
"PS-WPM-014","W-PM-202604","wawancara-awal-pemilik","promosi-margin","Promo, voucher, dan program GrabFood dinilai berpengaruh pada penjualan, tetapi harus dihitung karena ada biaya, pajak, dan margin.","included-derived-note","Promotion, price","Opportunity/threat","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 9","Menghubungkan promo dengan risiko profitabilitas.","Mendukung analisis EFAS dan rekomendasi promo yang terukur.","Triangulasi dengan data HPP/margin dan business consultant.","moderate"
"PS-WPM-015","W-PM-202604","wawancara-awal-pemilik","harga-margin","Harga dihitung ulang untuk menjaga margin dan net profit pada platform online.","included-derived-note","Price","Weakness/threat","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 10","Menjelaskan alasan harga online terasa tinggi.","Mendukung faktor kelemahan harga dan risiko sensitivitas harga.","Perlu data harga kompetitor dan persepsi pelanggan.","moderate"
"PS-WPM-016","W-PM-202604","wawancara-awal-pemilik","kendala-platform","Kendala platform yang disebut adalah ongkir mahal, jarak layanan terbatas, dan pelanggan sensitif harga.","included-derived-note","Price, place","Threat","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 11","Faktor eksternal yang memengaruhi konversi pembelian.","Mendukung analisis ancaman platform dan harga akhir pelanggan.","Triangulasi dengan survei pelanggan dan observasi kompetitor.","strong-if-triangulated"
"PS-WPM-017","W-PM-202604","wawancara-awal-pemilik","kendala-stok","Saat jam ramai, beberapa menu bisa sold out, perlu restock, dan kadang masih dapat dipesan sehingga pelanggan berpotensi batal.","included-derived-note","Process, product","Weakness","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 12","Menandai masalah sinkronisasi stok-platform.","Mendukung rekomendasi update stok dan SOP menu online.","Triangulasi dengan admin/checker, dapur, observasi sold out, dan pelanggan.","strong-if-triangulated"
"PS-WPM-018","W-PM-202604","wawancara-awal-pemilik","kendala-operasional","Kapasitas penggorengan terbatas dan antrean driver dapat menumpuk saat peak hour.","included-derived-note","Process, people","Weakness","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 12","Kendala operasional internal yang terlihat pada layanan online.","Mendukung prioritas strategi sistem antrean dan kapasitas produksi.","Triangulasi dengan admin, dapur, dan business consultant.","strong-if-triangulated"
"PS-WPM-019","W-PM-202604","wawancara-awal-pemilik","konsistensi-rasa","Konsistensi rasa masih menjadi perhatian karena sebagian cook dapat mengambil shortcut.","included-derived-note","Product, people, process","Weakness","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 13","Keterangan sensitif tentang pengendalian proses dapur.","Mendukung faktor kelemahan kualitas dan kebutuhan SOP.","Triangulasi dengan dapur, pelanggan, dan ulasan negatif/netral.","strong-if-triangulated"
"PS-WPM-020","W-PM-202604","wawancara-awal-pemilik","keluhan-pelanggan","Keluhan pelanggan yang disebut meliputi pesanan tidak sesuai request, menu habis, dan rasa belum konsisten.","included-derived-note","Product, process, people","Weakness","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 14","Ringkasan keluhan dari sudut pandang pemilik.","Mendukung analisis kelemahan layanan GrabFood.","Triangulasi dengan admin/checker, pelanggan, dan ulasan.","strong-if-triangulated"
"PS-WPM-021","W-PM-202604","wawancara-awal-pemilik","evaluasi-ulasan","Review pelanggan diperhatikan sebagai bahan evaluasi rasa, kesesuaian pesanan, dan ketersediaan menu.","included-derived-note","Control, physical evidence","Strength/opportunity","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 15","Menunjukkan adanya mekanisme pembelajaran dari platform.","Mendukung rekomendasi monitoring ulasan secara rutin.","Triangulasi dengan observasi ulasan dan SOP tindak lanjut komplain.","moderate"
"PS-WPM-022","W-PM-202604","wawancara-awal-pemilik","peluang-platform","Peluang peningkatan penjualan berada pada upselling, product lineup, voucher, verified store, awards, dan program GrabFood.","included-derived-note","Product, promotion, physical evidence","Opportunity","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 16","Peluang internal dan eksternal yang dapat dimasukkan ke strategi SO/WO.","Mendukung perumusan alternatif strategi GrabFood.","Triangulasi dengan business consultant dan survei pelanggan.","strong-if-triangulated"
"PS-WPM-023","W-PM-202604","wawancara-awal-pemilik","peluang-ekspansi","Pemilik ingin memperkuat kualitas, layanan, product lineup, identitas brand, lalu membuka cabang di Medan dan jangka panjang ke Jakarta.","included-derived-note","Strategy, positioning","Opportunity","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 18","Rencana jangka panjang, bukan bukti hasil implementasi.","Mendukung bagian rekomendasi strategi bertahap.","Perlu diposisikan sebagai rencana, bukan kondisi yang sudah terjadi.","context"
"PS-WPM-024","W-PM-202604","wawancara-awal-pemilik","ancaman-persaingan","Ancaman yang dirasakan berasal dari pesaing baru dengan brand recognition kuat seperti Pagi Sore dan Payakumbuah, serta beban promo dan sensitivitas harga.","included-derived-note","Competition, price, promotion","Threat","interview-owner/W-PM-202604-wawancara-awal-pemilik-nasi-gerilya.tex","Pertanyaan 17","Menggabungkan ancaman kompetitor dan sistem platform.","Mendukung EFAS ancaman kompetisi dan biaya platform.","Triangulasi dengan observasi kompetitor dan pelanggan.","strong-if-triangulated"
"PS-GF-001","O-GF-20260404","observasi-grabfood","rating-reputasi","Rating Nasi Gerilya pada observasi 04 April 2026 adalah 4.7 dari 5.0 dengan 4,361 penilaian.","included-visual-evidence","Physical evidence, positioning","Strength","grabfood-observation/O-GF-20260404-rating-reviews.jpeg","PA-GF-01","Bukti visual tersedia pada crop PA-GF-01.","Mendukung reputasi digital awal dan kepercayaan pelanggan.","Perlu bandingkan dengan observasi 13 Juni 2026 untuk perubahan terbaru.","strong-if-updated"
"PS-GF-002","O-GF-20260404","observasi-grabfood","harga","Rentang harga pada halaman GrabFood awal adalah Rp11,000 untuk Nasi Putih sampai Rp72,000 untuk Nasi Padang Kari Kambing Gerilya.","included-visual-evidence","Price, product","Strength/weakness","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01; PA-HRG-02","Rentang belum memasukkan menu premium kepala ikan yang berada pada kategori berbeda.","Mendukung analisis rentang harga dan sensitivitas harga.","Triangulasi dengan persepsi pelanggan dan harga kompetitor.","moderate"
"PS-GF-003","O-GF-20260404","observasi-grabfood","menu-teratas","Menu teratas yang dicatat: Nasi Padang Rendang Sapi, Ayam Goreng, Ayam Bakar, dan Nasi Bakar Kikil Tunjang.","included-visual-evidence","Product, positioning","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","Tabel data utama observasi GrabFood","Menu ini menjadi indikator awal daya tarik produk di platform.","Mendukung pemilihan hero menu dan product lineup.","Triangulasi dengan data pesanan, admin, dan pelanggan.","moderate"
"PS-GF-004","O-GF-20260404","observasi-grabfood","promosi","Promo GrabFood yang tampak: Diskon Rp8,000 Jajan Hemat, diskon 25 persen maksimal Rp100,000, dan diskon 15 persen Group Order.","included-visual-evidence","Promotion, price","Opportunity","grabfood-observation/O-GF-20260404-rating-reviews.jpeg","Tabel data utama observasi GrabFood","Bukti adanya stimulus promosi awal pada platform.","Mendukung analisis pengaruh promo terhadap keputusan beli.","Triangulasi dengan pelanggan dan margin/HPP.","moderate"
"PS-GF-005","O-GF-20260404","observasi-grabfood","promosi-bank","Promo bank yang tampak meliputi Raya, BTN, BSI, Mega, Mega Syariah, SBI, OCBC, Danamon, dan Muamalat.","included-visual-evidence","Promotion","Opportunity","grabfood-observation/O-GF-20260404-rating-reviews.jpeg","Tabel data utama observasi GrabFood","Daftar promo ini bersifat kondisi saat observasi.","Mendukung peluang kolaborasi promo pembayaran.","Perlu cek ketersediaan promo terbaru sebelum klaim final.","context"
"PS-GF-006","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Dendeng Sapi Bakar Gerilya tercatat Rp56,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Menu ini sejalan dengan produk unggulan dendeng dari wawancara awal.","Mendukung analisis hero menu dan harga menu utama.","Triangulasi dengan pelanggan/admin mengenai frekuensi pembelian.","moderate"
"PS-GF-007","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Kikil Tunjang Gulai Gerilya tercatat Rp68,000.","included-visual-evidence","Product, price","Strength/weakness","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Harga termasuk tinggi dalam menu utama.","Mendukung analisis variasi menu premium pada paket nasi.","Triangulasi dengan persepsi harga pelanggan.","moderate"
"PS-GF-008","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Ayam Goreng Bumbu Gerilya tercatat Rp45,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Menu ayam goreng juga disebut dalam data menu teratas.","Mendukung strategi mempertahankan menu populer.","Triangulasi dengan admin dan pelanggan.","moderate"
"PS-GF-009","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Gulai Ayam Kalasan Gerilya tercatat Rp46,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Varian ayam berkuah memperkaya pilihan produk.","Mendukung analisis variasi menu dalam product lineup.","Triangulasi dengan data pesanan menu.","context"
"PS-GF-010","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Ayam Bakar Gerilya tercatat Rp45,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Termasuk menu teratas pada observasi.","Mendukung analisis menu populer dan harga kompetitif internal.","Triangulasi dengan admin dan pelanggan.","moderate"
"PS-GF-011","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Udang Goreng Panas Gerilya tercatat Rp58,000.","included-visual-evidence","Product, price","Strength/weakness","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Menu seafood dengan harga di atas menu ayam.","Mendukung pembacaan variasi premium menengah.","Triangulasi dengan keluhan kualitas bahan seafood bila muncul.","context"
"PS-GF-012","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Ikan Lele Goreng Panas Gerilya tercatat Rp39,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Salah satu paket nasi harga menengah-rendah.","Mendukung opsi paket relatif lebih terjangkau.","Triangulasi dengan harga kompetitor.","context"
"PS-GF-013","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Ikan Gembung Goreng Gerilya tercatat Rp50,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Variasi ikan dalam paket nasi.","Mendukung analisis keragaman produk ikan.","Triangulasi dengan data pesanan menu.","context"
"PS-GF-014","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Ikan Nila Goreng Gerilya tercatat Rp43,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Menu ikan dengan harga menengah.","Mendukung analisis opsi menu selain ayam dan daging.","Triangulasi dengan harga kompetitor.","context"
"PS-GF-015","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Ikan Nila Bakar Bumbu Gerilya tercatat Rp50,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Variasi cara masak untuk ikan nila.","Mendukung diferensiasi variasi rasa/menu.","Triangulasi dengan pelanggan.","context"
"PS-GF-016","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Ikan Kakap Goreng Panas Gerilya tercatat Rp48,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Varian kakap dalam menu nasi Padang.","Mendukung analisis keragaman lauk.","Triangulasi dengan data menu terjual.","context"
"PS-GF-017","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Telur Gulai Gerilya tercatat Rp32,000.","included-visual-evidence","Product, price","Opportunity","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Paket nasi dengan harga lebih rendah dibanding lauk utama daging/ikan.","Mendukung peluang paket hemat untuk pelanggan sensitif harga.","Triangulasi dengan permintaan paket hemat dari pelanggan.","moderate"
"PS-GF-018","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Berkedel Kentang Gerilya tercatat Rp37,400.","included-visual-evidence","Product, price","Opportunity","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Opsi lauk non-daging dengan harga menengah.","Mendukung variasi paket hemat/pendamping.","Triangulasi dengan data permintaan pelanggan.","context"
"PS-GF-019","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Sayur Polos Gerilya tercatat Rp27,500.","included-visual-evidence","Product, price","Opportunity","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Paket nasi paling murah dalam kelompok nasi Padang yang tercatat.","Mendukung strategi pilihan entry price.","Triangulasi dengan keputusan beli pelanggan sensitif harga.","moderate"
"PS-GF-020","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Gembung Kuring Bakar Gerilya tercatat Rp47,850.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Variasi ikan bakar dalam kategori utama.","Mendukung variasi produk dan price ladder.","Triangulasi dengan data menu terjual.","context"
"PS-GF-021","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Kari Kambing Gerilya tercatat Rp72,000.","included-visual-evidence","Product, price","Strength/weakness","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Harga tertinggi dalam kelompok paket nasi utama.","Mendukung analisis menu premium dan risiko persepsi mahal.","Triangulasi dengan pelanggan dan margin.","moderate"
"PS-GF-022","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Ayam Pop Sauce Creamy Gerilya tercatat Rp46,000.","included-visual-evidence","Product, positioning","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Terkait hero menu ayam pop yang disebut pemilik dan business consultant.","Mendukung strategi hero menu ayam pop.","Triangulasi dengan pelanggan dan admin.","strong-if-triangulated"
"PS-GF-023","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Rendang Sapi Gerilya tercatat Rp56,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Termasuk menu teratas pada observasi.","Mendukung analisis daya tarik menu klasik Padang.","Triangulasi dengan admin dan pelanggan.","moderate"
"PS-GF-024","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Ayam Rendang Gerilya tercatat Rp46,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Variasi ayam dengan bumbu rendang.","Mendukung variasi rasa dan diferensiasi menu.","Triangulasi dengan data menu terjual.","context"
"PS-GF-025","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Cumi Nagih Gerilya tercatat Rp70,000.","included-visual-evidence","Product, price","Strength/weakness","grabfood-observation/O-GF-20260404-menu-price-01.jpeg","PA-HRG-01","Menu seafood harga tinggi.","Mendukung analisis menu premium dan risiko persepsi harga.","Triangulasi dengan pelanggan dan ulasan kualitas.","moderate"
"PS-GF-026","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Ikan Marlin Goreng Gerilya tercatat Rp51,500.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-06.jpeg","PA-HRG-02","Varian ikan pada kelanjutan daftar menu utama.","Mendukung keragaman produk ikan.","Triangulasi dengan admin karena marlin disebut sering dipesan pada data lapangan.","moderate"
"PS-GF-027","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Ikan Tongkol Tuna Goreng Panas Gerilya tercatat Rp48,000.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-06.jpeg","PA-HRG-02","Menu ikan harga menengah.","Mendukung keragaman product lineup.","Triangulasi dengan data pesanan menu.","context"
"PS-GF-028","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Kakap Muncung Gulai Kuning Gerilya tercatat Rp51,150.","included-visual-evidence","Product, price","Strength","grabfood-observation/O-GF-20260404-menu-price-06.jpeg","PA-HRG-02","Varian kakap gulai kuning.","Mendukung keragaman menu ikan berkuah.","Triangulasi dengan data pesanan menu.","context"
"PS-GF-029","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Kakap Merah Gulai Kuning Gerilya tercatat Rp69,300.","included-visual-evidence","Product, price","Strength/weakness","grabfood-observation/O-GF-20260404-menu-price-06.jpeg","PA-HRG-02","Harga tinggi dalam varian ikan.","Mendukung analisis price ladder dan menu premium.","Triangulasi dengan pelanggan dan margin.","context"
"PS-GF-030","O-GF-20260404","observasi-grabfood","menu-harga-utama","Nasi Padang Telur Dadar Gerilya tercatat Rp32,000.","included-visual-evidence","Product, price","Opportunity","grabfood-observation/O-GF-20260404-menu-price-06.jpeg","PA-HRG-02","Paket alternatif harga lebih rendah.","Mendukung peluang paket hemat dan entry menu.","Triangulasi dengan pelanggan sensitif harga.","moderate"
"PS-GF-031","O-GF-20260404","observasi-grabfood","pesanan-tambahan","Pesanan tambahan mencakup jangek, keripik kentang balado, telur gulai, perkedel, nasi putih, sate rendang jengkol, dan telur dadar sayur dengan harga Rp7,700 sampai Rp27,500.","included-visual-evidence","Product, price, upselling","Opportunity","grabfood-observation/O-GF-20260404-menu-price-06.jpeg","PA-HRG-02","Kategori ini memberi peluang add-on bernilai rendah-menengah.","Mendukung strategi upselling dan peningkatan AOV.","Triangulasi dengan data AOV dan pelanggan.","moderate"
"PS-GF-032","O-GF-20260404","observasi-grabfood","lauk-tambahan","Lauk tambahan memiliki rentang harga sekitar Rp27,000 sampai Rp67,500, termasuk ayam, dendeng, rendang, kikil, ikan, cumi, dan kari kambing.","included-visual-evidence","Product, price, upselling","Opportunity","grabfood-observation/O-GF-20260404-menu-price-06.jpeg","PA-HRG-02; PA-HRG-03","Kategori lauk tambahan memperluas peluang pembelian lebih dari satu lauk.","Mendukung strategi bundling/upselling.","Triangulasi dengan AOV dan pelanggan.","moderate"
"PS-GF-033","O-GF-20260404","observasi-grabfood","sambal","Sambal hijau dan sambal merah masing-masing tercatat Rp17,500.","included-visual-evidence","Product, price","Opportunity","grabfood-observation/O-GF-20260404-menu-price-13.jpeg","PA-HRG-03","Add-on sambal dapat menjadi pendorong nilai transaksi kecil.","Mendukung strategi add-on murah pada GrabFood.","Triangulasi dengan preferensi pelanggan.","context"
"PS-GF-034","O-GF-20260404","observasi-grabfood","sambal-kemasan","Sambal kemasan Gerilya terdiri dari beberapa varian dengan harga seragam Rp38,500.","included-visual-evidence","Product, physical evidence, upselling","Opportunity","grabfood-observation/O-GF-20260404-menu-price-13.jpeg","PA-HRG-03; PA-HRG-04","Produk kemasan memperluas penawaran di luar menu makan utama.","Mendukung peluang cross-selling dan identitas merek.","Triangulasi dengan data penjualan produk kemasan.","moderate"
"PS-GF-035","O-GF-20260404","observasi-grabfood","kuah-tambahan","Kuah tambahan tersedia dengan harga rendah, yaitu Rp2,500 untuk kuah campur dan Rp1,100 untuk kuah gulai kuning.","included-visual-evidence","Product, price, process","Opportunity","grabfood-observation/O-GF-20260404-menu-price-14.jpeg","PA-HRG-04","Item kecil dapat memperbaiki kepuasan pesanan berkuah.","Mendukung detail menu dan opsi request yang lebih jelas.","Triangulasi dengan keluhan kuah/sambal terpisah.","context"
"PS-GF-036","O-GF-20260404","observasi-grabfood","minuman","Minuman segar dan panas tersedia pada rentang sekitar Rp13,200 sampai Rp26,400.","included-visual-evidence","Product, upselling","Opportunity","grabfood-observation/O-GF-20260404-menu-price-14.jpeg","PA-HRG-04; PA-HRG-05","Minuman dapat digunakan sebagai add-on transaksi.","Mendukung rekomendasi paket makan plus minuman.","Triangulasi dengan AOV dan permintaan pelanggan.","context"
"PS-GF-037","O-GF-20260404","observasi-grabfood","menu-premium","Menu premium kepala ikan tersedia dengan harga Rp248,050 untuk ukuran M dan Rp275,000 untuk ukuran L.","included-visual-evidence","Product, price","Strength/weakness","grabfood-observation/O-GF-20260404-menu-price-17.jpeg","PA-HRG-05","Harga jauh di atas paket nasi biasa sehingga perlu positioning khusus.","Mendukung analisis menu premium dan segmentasi khusus.","Triangulasi dengan data pesanan dan margin.","context"
